metric,tolerance,required_reliability,payload_model,maximum_speed_scale,reliability_at_limit,status
orientation,0.09,0.9,4.5 lb,1.0,0.9936428234119631,feasible
orientation,0.1,0.9,pooled,1.0,0.9971325156620111,feasible
orientation,0.1,0.9,1.6 lb,1.0,0.9982648342549356,feasible
orientation,0.1,0.9,4.5 lb,1.0,0.9955975717006216,feasible
orientation,0.01,0.95,pooled,,0.5136863211465097,not_feasible_at_0.5
orientation,0.01,0.95,1.6 lb,,0.5727708859188879,not_feasible_at_0.5
orientation,0.01,0.95,4.5 lb,,0.46466513272895954,not_feasible_at_0.5
orientation,0.02,0.95,pooled,,0.839005949271906,not_feasible_at_0.5
orientation,0.02,0.95,1.6 lb,,0.8786490085973719,not_feasible_at_0.5
orientation,0.02,0.95,4.5 lb,,0.8050003893204261,not_feasible_at_0.5
orientation,0.03,0.95,pooled,,0.9393865334747701,not_feasible_at_0.5
orientation,0.03,0.95,1.6 lb,0.603,0.9500066593819958,feasible
orientation,0.03,0.95,4.5 lb,,0.9213693015810003,not_feasible_at_0.5
orientation,0.04,0.95,pooled,0.9262,0.9500043366308581,feasible
orientation,0.04,0.95,1.6 lb,1.0,0.9555081765824942,feasible
orientation,0.04,0.95,4.5 lb,0.7547,0.9500056234650643,feasible
orientation,0.05,0.95,pooled,1.0,0.9701020096208589,feasible
orientation,0.05,0.95,1.6 lb,1.0,0.9771606872405236,feasible
orientation,0.05,0.95,4.5 lb,1.0,0.9623243652479065,feasible
orientation,0.06,0.95,pooled,1.0,0.9827353374798454,feasible
orientation,0.06,0.95,1.6 lb,1.0,0.9875025406105502,feasible
orientation,0.06,0.95,4.5 lb,1.0,0.9772277160696397,feasible
orientation,0.07,0.95,pooled,1.0,0.9895448489969836,feasible
orientation,0.07,0.95,1.6 lb,1.0,0.9927983570454844,feasible
orientation,0.07,0.95,4.5 lb,1.0,0.9856167127980542,feasible
orientation,0.08,0.95,pooled,1.0,0.9934157442226398,feasible
orientation,0.08,0.95,1.6 lb,1.0,0.9956689816284652,feasible
orientation,0.08,0.95,4.5 lb,1.0,0.9905811542113496,feasible
orientation,0.09,0.95,pooled,1.0,0.9957151414344101,feasible
orientation,0.09,0.95,1.6 lb,1.0,0.9973002373920319,feasible
orientation,0.09,0.95,4.5 lb,1.0,0.9936428234119631,feasible
orientation,0.1,0.95,pooled,1.0,0.9971325156620111,feasible
orientation,0.1,0.95,1.6 lb,1.0,0.9982648342549356,feasible
orientation,0.1,0.95,4.5 lb,1.0,0.9955975717006216,feasible
orientation,0.01,0.99,pooled,,0.5136863211465097,not_feasible_at_0.5
orientation,0.01,0.99,1.6 lb,,0.5727708859188879,not_feasible_at_0.5
orientation,0.01,0.99,4.5 lb,,0.46466513272895954,not_feasible_at_0.5
orientation,0.02,0.99,pooled,,0.839005949271906,not_feasible_at_0.5
orientation,0.02,0.99,1.6 lb,,0.8786490085973719,not_feasible_at_0.5
orientation,0.02,0.99,4.5 lb,,0.8050003893204261,not_feasible_at_0.5
orientation,0.03,0.99,pooled,,0.9393865334747701,not_feasible_at_0.5
orientation,0.03,0.99,1.6 lb,,0.9594506574521189,not_feasible_at_0.5
orientation,0.03,0.99,4.5 lb,,0.9213693015810003,not_feasible_at_0.5
orientation,0.04,0.99,pooled,,0.974199528206562,not_feasible_at_0.5
orientation,0.04,0.99,1.6 lb,,0.9843440610989429,not_feasible_at_0.5
orientation,0.04,0.99,4.5 lb,,0.9646909171350653,not_feasible_at_0.5
orientation,0.05,0.99,pooled,,0.9879092429831098,not_feasible_at_0.5
orientation,0.05,0.99,1.6 lb,0.6372,0.9900000809572025,feasible
orientation,0.05,0.99,4.5 lb,,0.9827086647656198,not_feasible_at_0.5
orientation,0.06,0.99,pooled,0.7138,0.9900010339036796,feasible
orientation,0.06,0.99,1.6 lb,0.9021,0.9900006241209265,feasible
orientation,0.06,0.99,4.5 lb,0.5444,0.9900003048226746,feasible
orientation,0.07,0.99,pooled,0.9770000000000001,0.9900002196541289,feasible
orientation,0.07,0.99,1.6 lb,1.0,0.9927983570454844,feasible
orientation,0.07,0.99,4.5 lb,0.8041,0.9900016425632686,feasible
orientation,0.08,0.99,pooled,1.0,0.9934157442226398,feasible
orientation,0.08,0.99,1.6 lb,1.0,0.9956689816284652,feasible
orientation,0.08,0.99,4.5 lb,1.0,0.9905811542113496,feasible
orientation,0.09,0.99,pooled,1.0,0.9957151414344101,feasible
orientation,0.09,0.99,1.6 lb,1.0,0.9973002373920319,feasible
orientation,0.09,0.99,4.5 lb,1.0,0.9936428234119631,feasible
orientation,0.1,0.99,pooled,1.0,0.9971325156620111,feasible
orientation,0.1,0.99,1.6 lb,1.0,0.9982648342549356,feasible
orientation,0.1,0.99,4.5 lb,1.0,0.9955975717006216,feasible
